Fixed/Offset Slit,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

645.00,4.96952820E+1,1.02940224E+2,2.62675049E+2,4.96952820E+2,7.09932617E+2,9.44210388E+2,1.14299146E+3,1.37016992E+3,1.73223560E+3,1.91681799E+3,1.86712280E+3,1.94166565E+3,1.89552002E+3,1.86712280E+3,1.85647375E+3,1.66124231E+3,1.53345447E+3,1.43051416E+3,1.34177258E+3,1.34532227E+3,1.23173303E+3,1.13944177E+3,1.15719019E+3,1.02940222E+3,8.48369446E+2,5.89244080E+2,3.76264282E+2,1.77483154E+2,9.22912369E+1,2.83973045E+1,1.41986523E+1,2.83973045E+1,
646.00,8.62805557E+1,2.55246643E+2,4.45782867E+2,8.37640381E+2,1.40924902E+3,1.72920605E+3,2.36193018E+3,2.84006836E+3,3.07014966E+3,3.39370190E+3,3.47638721E+3,3.44762720E+3,3.49795752E+3,3.30023120E+3,3.10969507E+3,3.04138965E+3,2.75378760E+3,2.24688940E+3,2.21812915E+3,2.00961792E+3,1.92333740E+3,1.71842102E+3,1.79032153E+3,1.40565405E+3,1.21152283E+3,8.48425476E+2,5.96773804E+2,2.55246643E+2,1.43800919E+2,5.39253464E+1,3.23552094E+1,3.59502296E+1,
647.00,1.31232880E+2,2.04140030E+2,5.50449036E+2,9.11339417E+2,1.37794519E+3,2.03410962E+3,2.77047192E+3,3.31363013E+3,3.70003809E+3,4.33068506E+3,3.96979468E+3,3.98437598E+3,4.29058594E+3,4.23226025E+3,3.65629395E+3,3.80575342E+3,3.28082202E+3,2.81421631E+3,2.76682666E+3,2.78869873E+3,2.36948267E+3,2.35854639E+3,2.27470337E+3,1.83361499E+3,1.49095129E+3,1.27587524E+3,7.03554077E+2,3.53599701E+2,1.56750381E+2,1.09360733E+2,3.28082199E+1,4.00989342E+1,
648.00,1.69949768E+2,2.32757294E+2,6.02213318E+2,8.75610779E+2,1.44087854E+3,1.78447253E+3,2.46427173E+3,2.79308765E+3,3.52461035E+3,3.56894507E+3,3.74628418E+3,3.80539697E+3,3.96426318E+3,3.66130908E+3,3.67608740E+3,3.37313354E+3,3.27707495E+3,3.03692847E+3,2.85589502E+3,2.71180713E+3,2.40515869E+3,2.46427173E+3,2.09112109E+3,2.07264819E+3,1.58127173E+3,1.23767773E+3,7.53690308E+2,3.91623383E+2,1.81033447E+2,9.60585632E+1,4.80292816E+1,5.54184036E+1,
649.00,7.84756317E+1,3.10165588E+2,6.35278931E+2,9.67866150E+2,1.69283154E+3,2.18237012E+3,2.92975708E+3,3.22123779E+3,3.90509692E+3,4.33858154E+3,4.54411279E+3,4.52542822E+3,4.22273633E+3,4.15920850E+3,4.00973120E+3,3.70703955E+3,3.60987915E+3,3.59493140E+3,3.16518384E+3,3.07176050E+3,2.86996606E+3,2.53364185E+3,2.45516626E+3,2.17115918E+3,2.01420789E+3,1.18834534E+3,9.15549072E+2,4.52169128E+2,2.05531418E+2,1.45740463E+2,8.22125702E+1,3.36324158E+1,
650.00,2.04034866E+2,5.70541931E+2,1.20153857E+3,1.99500757E+3,3.07941504E+3,4.20538525E+3,5.18021826E+3,6.21928467E+3,6.70292285E+3,7.26968652E+3,7.65130713E+3,7.51528418E+3,7.42460205E+3,7.17522607E+3,6.75582080E+3,5.96613037E+3,5.52405469E+3,5.19155371E+3,5.02908154E+3,4.50388037E+3,4.37163574E+3,4.11470313E+3,3.58572363E+3,3.25700098E+3,2.78847632E+3,1.85898425E+3,1.19776025E+3,7.40570984E+2,3.09830719E+2,1.70029053E+2,8.69037399E+1,5.66763496E+1,
651.00,4.66158813E+2,9.97274170E+2,2.15120825E+3,3.41977148E+3,5.06661133E+3,6.82425928E+3,8.52841406E+3,1.01255811E+4,1.14514590E+4,1.19137969E+4,1.18297354E+4,1.19214385E+4,1.13979648E+4,1.12871563E+4,1.02745986E+4,9.64413770E+3,8.39467969E+3,7.90559473E+3,7.36683740E+3,6.70198828E+3,6.27785986E+3,5.76584961E+3,5.28058594E+3,4.52403320E+3,3.70252368E+3,2.72817529E+3,1.78057385E+3,9.13212769E+2,4.20307129E+2,2.78931091E+2,1.29913116E+2,8.02404480E+1,
652.00,7.11799622E+2,1.82978931E+3,3.11799194E+3,5.21083740E+3,8.10832617E+3,9.79885059E+3,1.16827979E+4,1.36557217E+4,1.49555293E+4,1.59342539E+4,1.58530156E+4,1.62359951E+4,1.50793203E+4,1.38955664E+4,1.36518525E+4,1.23094912E+4,1.11373428E+4,1.06344414E+4,9.71374414E+3,8.92070605E+3,7.67505713E+3,7.39652686E+3,7.00581055E+3,5.91490039E+3,4.95551807E+3,3.39652222E+3,2.08510864E+3,1.06383093E+3,5.53192078E+2,2.24371628E+2,1.19922768E+2,9.28434296E+1,
653.00,1.12180542E+3,2.44757544E+3,4.31855859E+3,6.63669482E+3,9.66086328E+3,1.15749922E+4,1.43402822E+4,1.67368672E+4,1.78978965E+4,1.86509961E+4,1.87922012E+4,1.85137129E+4,1.77135430E+4,1.67721680E+4,1.54503203E+4,1.44069629E+4,1.29125293E+4,1.20417578E+4,1.09591758E+4,9.85698242E+3,9.02151172E+3,8.58220410E+3,7.86048291E+3,6.82889258E+3,5.78945752E+3,4.14989551E+3,2.51425610E+3,1.27870129E+3,6.35428223E+2,3.56938080E+2,1.37283875E+2,1.01982315E+2,
654.00,1.35330774E+3,2.94145410E+3,5.29780176E+3,8.86018457E+3,1.21837490E+4,1.58854443E+4,1.91771660E+4,2.19912500E+4,2.40371328E+4,2.52551094E+4,2.47496094E+4,2.42401289E+4,2.25564551E+4,2.14817695E+4,1.95035527E+4,1.76964883E+4,1.65780195E+4,1.53600420E+4,1.40465381E+4,1.28086592E+4,1.12762373E+4,1.08583037E+4,1.01935908E+4,9.04725977E+3,7.03719971E+3,4.93957324E+3,3.08872583E+3,1.63192981E+3,8.00043640E+2,4.21913574E+2,2.14937103E+2,1.51252029E+2,
655.00,6.24077393E+3,1.35277363E+4,2.18285703E+4,3.27832500E+4,4.20656445E+4,5.13278398E+4,5.70717773E+4,6.10343672E+4,6.34579688E+4,6.31388594E+4,6.11878594E+4,5.76574805E+4,5.31415039E+4,4.84195195E+4,4.17748125E+4,3.85271875E+4,3.40354453E+4,3.09332344E+4,2.76492539E+4,2.51125508E+4,2.13802051E+4,1.91464512E+4,1.77811563E+4,1.43356035E+4,1.16736807E+4,8.51088086E+3,5.14611377E+3,2.75078784E+3,1.24007617E+3,5.73585693E+2,2.98910858E+2,1.41376755E+2,
656.00,2.33980430E+4,4.86885742E+4,8.13770156E+4,1.17129492E+5,1.50899359E+5,1.73957406E+5,1.91333891E+5,1.99706719E+5,2.00865969E+5,1.95000078E+5,1.80163297E+5,1.63991109E+5,1.44771297E+5,1.25805445E+5,1.08641961E+5,9.48415391E+4,8.31179453E+4,7.12632656E+4,6.35048789E+4,5.50009648E+4,4.66813906E+4,4.06639297E+4,3.52404336E+4,3.02921094E+4,2.38445391E+4,1.60329023E+4,9.51159961E+3,4.75579980E+3,2.25705908E+3,1.17154065E+3,4.50592560E+2,2.58066650E+2,
657.00,3.07710020E+4,6.21763281E+4,1.02764867E+5,1.45272953E+5,1.83092016E+5,2.14480766E+5,2.33178859E+5,2.48058547E+5,2.51118234E+5,2.47482266E+5,2.28838078E+5,2.08800859E+5,1.88373922E+5,1.68850797E+5,1.47055703E+5,1.29365070E+5,1.14182719E+5,9.89796406E+4,8.80551484E+4,7.67119141E+4,6.65171016E+4,5.86232773E+4,5.11067266E+4,4.34948242E+4,3.44069727E+4,2.39965723E+4,1.45148584E+4,7.36729590E+3,3.36648535E+3,1.65422119E+3,7.46265198E+2,4.22883606E+2,
658.00,2.21509727E+4,4.19786484E+4,7.09695000E+4,1.00878766E+5,1.25361414E+5,1.45566531E+5,1.62026688E+5,1.69696906E+5,1.73525734E+5,1.68971406E+5,1.60210828E+5,1.46866563E+5,1.32792594E+5,1.18383148E+5,1.04791461E+5,9.26801328E+4,8.13027031E+4,7.18879141E+4,6.47586719E+4,5.72100625E+4,4.90324063E+4,4.39328984E+4,3.84937070E+4,3.37548594E+4,2.68059473E+4,1.84563477E+4,1.13019443E+4,5.82920313E+3,2.53717114E+3,1.54746472E+3,6.66793762E+2,3.43881042E+2,
659.00,3.84716943E+3,8.23421777E+3,1.47170176E+4,2.18289668E+4,3.02034688E+4,3.79828281E+4,4.52563164E+4,5.14755547E+4,5.54800117E+4,5.76310234E+4,5.69508633E+4,5.54204961E+4,5.41621953E+4,5.01619883E+4,4.63148203E+4,4.35006484E+4,3.92793867E+4,3.60868750E+4,3.38210820E+4,3.04287734E+4,2.69769473E+4,2.51320059E+4,2.26154043E+4,1.98947559E+4,1.58775449E+4,1.19496064E+4,6.96741504E+3,3.65162280E+3,1.84068994E+3,8.50203186E+2,3.48583313E+2,2.38056900E+2,
660.00,4.39729883E+4,7.22848438E+4,1.03062906E+5,1.30675063E+5,1.50370266E+5,1.62373109E+5,1.69992031E+5,1.69901344E+5,1.69257781E+5,1.59993266E+5,1.44392594E+5,1.30523891E+5,1.15925258E+5,1.01598727E+5,8.89177813E+4,7.65218984E+4,6.74474219E+4,5.85413906E+4,5.16135195E+4,4.56660859E+4,3.90664648E+4,3.56932305E+4,3.15727891E+4,2.69210938E+4,2.12284883E+4,1.47627617E+4,9.01400977E+3,4.45301563E+3,2.04726428E+3,1.03658948E+3,4.53507904E+2,2.76423859E+2,
661.00,7.47127031E+4,1.29754219E+5,1.90569234E+5,2.46120438E+5,2.89909344E+5,3.16694156E+5,3.31830906E+5,3.41031563E+5,3.31756188E+5,3.15042063E+5,2.88894375E+5,2.57500453E+5,2.28228750E+5,2.03232250E+5,1.72567703E+5,1.51947453E+5,1.32249922E+5,1.14195664E+5,9.93225469E+4,8.66024063E+4,7.43655859E+4,6.50243047E+4,5.60521016E+4,4.73347383E+4,3.66269727E+4,2.59631465E+4,1.53212881E+4,8.05389209E+3,3.87535889E+3,1.82783362E+3,7.16194458E+2,4.21807770E+2,
662.00,8.46633281E+4,1.45602875E+5,2.10017031E+5,2.71005719E+5,3.15251094E+5,3.44017063E+5,3.58697031E+5,3.66785094E+5,3.58147719E+5,3.43842875E+5,3.10436656E+5,2.81148156E+5,2.46473578E+5,2.17997906E+5,1.87271328E+5,1.62989297E+5,1.39537953E+5,1.22464164E+5,1.06234453E+5,9.32739141E+4,7.90762734E+4,6.79691484E+4,5.97917734E+4,4.97654414E+4,3.97078477E+4,2.76941133E+4,1.68370918E+4,8.50786719E+3,3.80509326E+3,1.80429309E+3,7.59232239E+2,5.85055420E+2,
663.00,1.79213809E+4,3.39952422E+4,5.40591992E+4,7.44091328E+4,9.30658906E+4,1.08740289E+5,1.20311109E+5,1.29780211E+5,1.33075781E+5,1.32385797E+5,1.26203195E+5,1.16611531E+5,1.09094359E+5,9.93619766E+4,8.73190625E+4,7.84219297E+4,6.98924766E+4,6.06911992E+4,5.44722813E+4,4.88934102E+4,4.32691484E+4,3.92064219E+4,3.56384883E+4,3.00686992E+4,2.40540508E+4,1.73766582E+4,1.07537363E+4,5.49716113E+3,2.39678027E+3,1.22108691E+3,5.40183472E+2,3.67687897E+2,
664.00,1.85427070E+4,3.69052539E+4,6.01090430E+4,8.62600781E+4,1.05809836E+5,1.19423531E+5,1.31198656E+5,1.40765656E+5,1.40331422E+5,1.37421141E+5,1.30907625E+5,1.19090930E+5,1.07311180E+5,9.57069766E+4,8.51698750E+4,7.65036797E+4,6.72600391E+4,5.96239961E+4,5.33368438E+4,4.63567656E+4,4.14277500E+4,3.71454688E+4,3.27338359E+4,2.81235664E+4,2.19057090E+4,1.60851279E+4,9.85803125E+3,5.01678613E+3,2.17116895E+3,1.12716003E+3,4.24994781E+2,3.14126556E+2,
665.00,5.13156016E+4,9.57652656E+4,1.46228500E+5,1.94549094E+5,2.33192375E+5,2.57628141E+5,2.71755594E+5,2.76978031E+5,2.75348688E+5,2.59940344E+5,2.35499859E+5,2.11228891E+5,1.89133563E+5,1.63831313E+5,1.41152047E+5,1.23812953E+5,1.06464453E+5,9.12020938E+4,8.09314453E+4,7.03593984E+4,6.03194961E+4,5.22951055E+4,4.62956484E+4,3.98158594E+4,3.08637656E+4,2.13795391E+4,1.23944814E+4,6.54571777E+3,3.08449292E+3,1.41274487E+3,6.16898560E+2,4.09696014E+2,
666.00,3.60919570E+4,6.54148672E+4,1.01656281E+5,1.38220719E+5,1.67100078E+5,1.87947203E+5,1.99855719E+5,2.06026938E+5,2.06214969E+5,1.98896297E+5,1.85025531E+5,1.70089266E+5,1.50997063E+5,1.33573031E+5,1.18386055E+5,1.05117945E+5,9.25923125E+4,7.99220391E+4,7.40159922E+4,6.30765547E+4,5.55168164E+4,4.81065391E+4,4.41531055E+4,3.77263672E+4,2.94820098E+4,2.09917695E+4,1.29209785E+4,6.13264355E+3,2.99400293E+3,1.39334436E+3,7.90686768E+2,4.48377258E+2,
667.00,4.62034531E+4,8.46641172E+4,1.27972094E+5,1.69030234E+5,2.00696719E+5,2.17364328E+5,2.28499250E+5,2.32144656E+5,2.24218109E+5,2.10763828E+5,1.93773391E+5,1.71478734E+5,1.53524797E+5,1.33350828E+5,1.15342258E+5,1.01545289E+5,8.67699141E+4,7.62260156E+4,6.85726172E+4,5.82671094E+4,5.10557344E+4,4.50959219E+4,3.81974375E+4,3.36630117E+4,2.61486816E+4,1.86939473E+4,1.05737021E+4,5.78598535E+3,2.51802124E+3,1.21182874E+3,6.00947815E+2,3.17856720E+2,
668.00,1.71597598E+4,3.02873594E+4,4.81294063E+4,6.54635859E+4,8.12792891E+4,9.38990234E+4,1.03687016E+5,1.11535867E+5,1.12587516E+5,1.14336836E+5,1.06800906E+5,1.00311492E+5,9.32013516E+4,8.36801172E+4,7.54516406E+4,6.82594219E+4,6.00206836E+4,5.44905703E+4,4.86988320E+4,4.44666055E+4,3.84542773E+4,3.53455117E+4,3.19340820E+4,2.77018535E+4,2.23307715E+4,1.59696055E+4,9.50070996E+3,4.97607373E+3,2.41621729E+3,1.04651453E+3,5.64296997E+2,3.28318268E+2,
669.00,2.26841500E+5,3.59864906E+5,4.95618156E+5,6.00656625E+5,6.66980875E+5,6.89199875E+5,6.89701438E+5,6.72540875E+5,6.36609313E+5,5.82688188E+5,5.12282375E+5,4.46750156E+5,3.84576125E+5,3.24962969E+5,2.78312625E+5,2.34154547E+5,1.98640109E+5,1.71463047E+5,1.47617797E+5,1.26396781E+5,1.05920266E+5,9.19964531E+4,7.92131563E+4,6.81617500E+4,5.13708008E+4,3.48702617E+4,2.12474160E+4,1.04705830E+4,5.11648730E+3,2.37607788E+3,9.92672485E+2,5.38577637E+2,
670.00,2.32320953E+5,3.72001156E+5,5.13685125E+5,6.31124875E+5,6.95460063E+5,7.33407250E+5,7.41034438E+5,7.28204000E+5,6.89820500E+5,6.42705625E+5,5.76345125E+5,5.05546250E+5,4.43085531E+5,3.81825969E+5,3.28048125E+5,2.79031844E+5,2.38682297E+5,2.04677938E+5,1.80164422E+5,1.54729813E+5,1.28487266E+5,1.12301125E+5,9.77524453E+4,8.11300078E+4,6.47337930E+4,4.44593711E+4,2.61509883E+4,1.34067578E+4,6.36672852E+3,2.95713550E+3,1.37353284E+3,9.37234192E+2,
671.00,3.59495281E+5,5.61292688E+5,7.48756938E+5,8.94860813E+5,9.74357750E+5,1.00524056E+6,9.99587875E+5,9.63085063E+5,9.03388813E+5,8.26636563E+5,7.29430000E+5,6.34227563E+5,5.43212875E+5,4.66024906E+5,3.96123344E+5,3.34570094E+5,2.85656438E+5,2.41997922E+5,2.08125406E+5,1.76452953E+5,1.49273250E+5,1.29810172E+5,1.10711953E+5,9.20058281E+4,7.20852969E+4,4.93220938E+4,2.93525547E+4,1.48668779E+4,6.52944580E+3,3.44715527E+3,1.47579626E+3,8.11415710E+2,
672.00,1.05436305E+5,1.74561938E+5,2.52410453E+5,3.19623844E+5,3.68279156E+5,3.91258938E+5,4.05740469E+5,4.05017219E+5,3.94743719E+5,3.70574938E+5,3.37464125E+5,3.02660219E+5,2.64596188E+5,2.31562078E+5,2.03114063E+5,1.74666031E+5,1.49856203E+5,1.30426953E+5,1.13644156E+5,9.87845547E+4,8.50591484E+4,7.43418281E+4,6.42436563E+4,5.41509648E+4,4.14720898E+4,3.00863047E+4,1.74074277E+4,8.75576660E+3,4.34500830E+3,1.98895081E+3,8.38318115E+2,4.65732269E+2,
673.00,1.72646641E+4,3.08419453E+4,4.78589492E+4,6.27130547E+4,7.75341406E+4,8.86788438E+4,9.43695313E+4,1.00197797E+5,1.03334828E+5,1.02867023E+5,9.63177891E+4,8.85082344E+4,8.36871172E+4,7.49034375E+4,6.68792500E+4,5.97136172E+4,5.30433008E+4,4.85964258E+4,4.36982578E+4,3.94330000E+4,3.50081406E+4,3.10235625E+4,2.88221387E+4,2.50411934E+4,1.93340039E+4,1.39625293E+4,8.85522656E+3,3.96806616E+3,2.00879907E+3,9.46612183E+2,4.56795410E+2,2.47660156E+2,
674.00,1.19782588E+4,2.10874727E+4,3.17194883E+4,4.09500859E+4,5.01861992E+4,5.72374258E+4,6.23134297E+4,6.41672734E+4,6.59438750E+4,6.64680234E+4,6.18941055E+4,5.79050313E+4,5.46442539E+4,4.94248008E+4,4.37694727E+4,3.94438359E+4,3.59789141E+4,3.23098496E+4,2.84476738E+4,2.63510645E+4,2.28530391E+4,2.11536816E+4,1.84832637E+4,1.65025195E+4,1.31369111E+4,8.98783203E+3,5.64980957E+3,2.98490918E+3,1.40693506E+3,6.78639221E+2,2.97939178E+2,2.42765259E+2,
675.00,1.09293994E+4,1.93981680E+4,2.90751816E+4,3.85590977E+4,4.52844570E+4,5.23463633E+4,5.61752383E+4,5.76924453E+4,5.93806797E+4,5.79131289E+4,5.53697383E+4,5.03270977E+4,4.68402852E+4,4.17535078E+4,3.73287813E+4,3.37757617E+4,2.95937910E+4,2.69014395E+4,2.36684121E+4,2.18863848E+4,1.91830000E+4,1.71637363E+4,1.58672148E+4,1.40245000E+4,1.08797461E+4,7.41499902E+3,4.43575830E+3,2.29511865E+3,1.09790540E+3,5.68262573E+2,2.42752945E+2,2.15167389E+2,
676.00,7.78967773E+3,1.45815273E+4,2.13402988E+4,2.85015117E+4,3.38103984E+4,3.86727461E+4,4.10653281E+4,4.24435469E+4,4.27191875E+4,4.40091992E+4,4.19804648E+4,3.82427422E+4,3.57895195E+4,3.11917891E+4,2.86283066E+4,2.58608496E+4,2.23546660E+4,2.08165781E+4,1.87657910E+4,1.61030781E+4,1.46201172E+4,1.36443408E+4,1.20400967E+4,1.02704668E+4,8.09839844E+3,5.75543066E+3,3.43451489E+3,1.92398987E+3,8.71032654E+2,5.29235046E+2,2.20514587E+2,1.21283028E+2,
677.00,7.27260059E+3,1.30388125E+4,1.85953438E+4,2.33683320E+4,2.74295117E+4,3.08671680E+4,3.30743281E+4,3.38302813E+4,3.42717148E+4,3.37640664E+4,3.15734590E+4,2.94490664E+4,2.70542949E+4,2.37932109E+4,2.18233184E+4,1.99472305E+4,1.74641738E+4,1.53728867E+4,1.38830518E+4,1.21890547E+4,1.12730820E+4,1.00536250E+4,9.63426465E+3,8.05614307E+3,6.56630859E+3,4.19360889E+3,2.89690088E+3,1.51742419E+3,7.28363647E+2,3.14520660E+2,1.93126724E+2,1.15876030E+2,
678.00,5.43776172E+3,8.90620117E+3,1.32044121E+4,1.70711406E+4,2.04566035E+4,2.28518750E+4,2.39084492E+4,2.55182031E+4,2.55292676E+4,2.44118438E+4,2.38199395E+4,2.15463691E+4,2.00472500E+4,1.82881387E+4,1.72536914E+4,1.43882178E+4,1.36192969E+4,1.20703926E+4,1.05048926E+4,1.01342617E+4,8.40280762E+3,7.99345410E+3,6.74879883E+3,6.23987305E+3,4.92330371E+3,3.33567676E+3,2.12974390E+3,1.00678796E+3,5.58712036E+2,2.93185516E+2,1.71485870E+2,1.38295059E+2,
679.00,4.69638477E+3,7.66632080E+3,1.09193721E+4,1.51383467E+4,1.74143730E+4,1.81526934E+4,2.07728984E+4,2.12614121E+4,2.16444492E+4,2.07062832E+4,1.96182324E+4,1.76086680E+4,1.66038848E+4,1.48108213E+4,1.34951670E+4,1.21628594E+4,1.12357959E+4,9.40942383E+3,9.24843652E+3,7.75514160E+3,7.02792334E+3,6.61712842E+3,6.07310303E+3,5.11828223E+3,4.18011572E+3,2.80894897E+3,1.54880774E+3,9.10410278E+2,3.60833344E+2,2.22051300E+2,1.77641037E+2,4.99615402E+1,
680.00,3.53251587E+3,5.99457227E+3,1.01468271E+4,1.19666084E+4,1.46878291E+4,1.66371914E+4,1.72625645E+4,1.82428809E+4,1.84457051E+4,1.79611797E+4,1.75893359E+4,1.62428115E+4,1.50033320E+4,1.35948330E+4,1.19328047E+4,1.02989453E+4,9.56652637E+3,8.60311230E+3,7.87632715E+3,7.05376367E+3,5.97767041E+3,5.47624463E+3,5.26215283E+3,4.56917090E+3,3.38603174E+3,2.41135059E+3,1.61695703E+3,7.38053528E+2,4.50719727E+2,1.80287888E+2,1.07045929E+2,9.57779388E+1,
681.00,4.52817285E+3,7.36816162E+3,1.06316074E+4,1.31384766E+4,1.56114688E+4,1.75480801E+4,1.79433086E+4,1.80731680E+4,1.87055313E+4,1.83272422E+4,1.72375449E+4,1.61365557E+4,1.42451123E+4,1.24778828E+4,1.11792793E+4,1.06259619E+4,9.52497168E+3,8.06827783E+3,7.74645020E+3,6.53818457E+3,5.89452930E+3,5.26216602E+3,5.13795166E+3,4.15553027E+3,3.12229370E+3,2.48993042E+3,1.32683362E+3,6.38009399E+2,2.76658936E+2,2.14551819E+2,1.24214218E+2,6.21071091E+1,
682.00,3.14543994E+3,5.60635059E+3,8.24263672E+3,1.05621152E+4,1.20273477E+4,1.39168740E+4,1.40865918E+4,1.51218721E+4,1.57215420E+4,1.46127178E+4,1.37754424E+4,1.28476504E+4,1.09015518E+4,1.02792520E+4,9.51552148E+3,8.10120459E+3,7.71085352E+3,6.34745215E+3,6.31916602E+3,5.57240674E+3,4.78038965E+3,4.14677588E+3,3.94311426E+3,3.34344409E+3,2.81731836E+3,1.88952686E+3,1.15408228E+3,6.05327454E+2,2.65891510E+2,1.69717972E+2,1.13145317E+2,5.09153938E+1,
683.00,2.51267529E+3,4.01235742E+3,5.73274756E+3,7.75307471E+3,8.90754688E+3,9.58664844E+3,1.00903154E+4,1.11089678E+4,1.13749482E+4,1.06562334E+4,1.03845928E+4,9.33198535E+3,8.46613086E+3,7.84362109E+3,6.95513037E+3,6.38921240E+3,5.85159033E+3,5.12721582E+3,4.66316309E+3,4.16515527E+3,3.75769458E+3,3.53698657E+3,3.15216235E+3,2.71640576E+3,2.34855908E+3,1.69209436E+3,9.84697021E+2,4.52734283E+2,1.92412064E+2,1.86752884E+2,7.35693207E+1,5.65917854E+1,
684.00,3.37481079E+3,5.30003809E+3,6.50613672E+3,8.23317871E+3,9.27506738E+3,1.02037061E+4,9.94889648E+3,1.12795684E+4,1.11323457E+4,1.02886426E+4,1.03169551E+4,9.25808008E+3,8.30112793E+3,7.50838770E+3,6.57408594E+3,6.39288818E+3,5.39063721E+3,5.11884033E+3,4.68283301E+3,3.91840430E+3,3.45974731E+3,3.53902124E+3,2.98410278E+3,2.58206982E+3,2.02715137E+3,1.44958313E+3,9.79601074E+2,5.20943909E+2,3.05771454E+2,1.64210587E+2,8.49365082E+1,7.36116409E+1,
685.00,6.65677393E+3,8.67139844E+3,1.01468984E+4,1.16110488E+4,1.28198232E+4,1.29219736E+4,1.40853486E+4,1.34497480E+4,1.34270479E+4,1.30751982E+4,1.19401982E+4,1.05271240E+4,9.81207422E+3,8.42169922E+3,7.78042383E+3,6.80432422E+3,5.68067432E+3,5.12452441E+3,4.71592432E+3,4.38677441E+3,3.75117456E+3,3.33122461E+3,3.18934961E+3,2.54807471E+3,2.16217480E+3,1.30524988E+3,9.36374878E+2,5.05074921E+2,3.06449951E+2,5.67499924E+1,6.24249916E+1,6.24249916E+1,
686.00,3.41873535E+3,5.36171680E+3,7.14515674E+3,8.93429492E+3,1.07063398E+4,1.13274102E+4,1.14926484E+4,1.14014824E+4,1.16578877E+4,1.13843887E+4,1.05069131E+4,9.09953418E+3,8.60951563E+3,7.57249902E+3,6.83177295E+3,6.19360889E+3,5.13949902E+3,4.66087598E+3,4.03980566E+3,3.67514063E+3,3.29907959E+3,2.97999756E+3,2.59254102E+3,2.33043799E+3,2.02844971E+3,1.35609839E+3,7.06538635E+2,3.87456665E+2,2.73498840E+2,1.02562065E+2,6.83747101E+1,8.54683838E+1,
687.00,2.25748047E+3,3.85605151E+3,5.71818652E+3,7.32248730E+3,8.38247168E+3,8.86949121E+3,9.55704883E+3,9.38515918E+3,9.84926074E+3,9.13878516E+3,8.34809375E+3,7.48864697E+3,6.99589746E+3,6.29688037E+3,5.51191895E+3,4.75560596E+3,3.79302539E+3,3.81594409E+3,3.49508374E+3,2.84190430E+3,2.57261084E+3,2.30904712E+3,2.22310254E+3,1.89078308E+3,1.38657422E+3,1.15738843E+3,6.76098206E+2,3.66697327E+2,1.60430084E+2,9.74039764E+1,2.86482277E+1,5.15668106E+1,
688.00,1.66943286E+3,2.80925244E+3,3.61518555E+3,4.94497510E+3,6.06752490E+3,6.29779150E+3,6.81589160E+3,6.81013477E+3,6.78710791E+3,6.56259814E+3,5.83150146E+3,5.72788184E+3,5.08889209E+3,4.38657861E+3,3.96058545E+3,3.86847900E+3,3.22948901E+3,3.11435571E+3,2.70563257E+3,2.46385254E+3,1.89969946E+3,1.65216284E+3,1.89969946E+3,1.43916626E+3,1.04195642E+3,7.94419800E+2,4.43263214E+2,1.78456619E+2,1.55429962E+2,1.32403290E+2,6.33233147E+1,1.72699947E+1,
689.00,1.33514063E+3,2.04605957E+3,2.92459351E+3,4.12101807E+3,4.52560645E+3,5.19606641E+3,5.90120557E+3,5.66423291E+3,5.46193848E+3,5.27120410E+3,4.99377246E+3,4.91285498E+3,4.29441309E+3,3.69331104E+3,3.34074146E+3,2.94193311E+3,2.75697852E+3,2.42174854E+3,2.10963770E+3,1.84954541E+3,1.84954541E+3,1.55477405E+3,1.33514063E+3,1.35825989E+3,9.42112183E+2,7.91836609E+2,4.04588043E+2,2.19633514E+2,8.66974411E+1,4.62386360E+1,2.88991470E+1,1.15596590E+1,
690.00,1.33521863E+3,1.97380139E+3,2.78654321E+3,3.44834717E+3,4.07531934E+3,4.70809668E+3,4.53393799E+3,4.57457520E+3,4.62101758E+3,4.75453906E+3,4.30172607E+3,4.06951392E+3,3.52962134E+3,3.06519751E+3,2.70526904E+3,2.51369409E+3,2.44403052E+3,1.99121729E+3,1.56162524E+3,1.70675769E+3,1.55581995E+3,1.34102393E+3,1.06236963E+3,1.21911267E+3,9.34653015E+2,5.97945740E+2,3.13486115E+2,1.79964249E+2,9.86900711E+1,8.12741776E+1,5.80529833E+0,5.22476845E+1,
