Fixed/Offset Slit,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

270.00,2.70103790E+2,2.70103790E+2,0.00000000E+0,1.80069199E+2,2.70103790E+2,3.60138397E+2,2.70103790E+2,9.00346008E+2,9.00345993E+1,9.00345993E+1,2.70103790E+2,1.80069199E+2,9.00345993E+1,2.70103790E+2,1.80069199E+2,2.70103790E+2,9.00345993E+1,9.00345993E+1,0.00000000E+0,0.00000000E+0,3.60138397E+2,7.20276794E+2,9.00345993E+1,9.00345993E+1,2.70103790E+2,2.70103790E+2,2.70103790E+2,1.80069199E+2,2.70103790E+2,1.80069199E+2,9.00345993E+1,1.80069199E+2,
271.00,7.82321701E+1,1.56464340E+2,7.82321701E+1,3.12928680E+2,7.82321701E+1,7.82321701E+1,3.12928680E+2,3.12928680E+2,7.82321701E+1,2.34696518E+2,7.04089539E+2,4.69393036E+2,7.82321701E+1,2.34696518E+2,0.00000000E+0,3.91160858E+2,1.56464340E+2,2.34696518E+2,0.00000000E+0,1.56464340E+2,1.56464340E+2,7.82321716E+2,3.91160858E+2,0.00000000E+0,3.12928680E+2,1.56464340E+2,3.91160858E+2,7.82321701E+1,1.56464340E+2,3.12928680E+2,7.82321701E+1,7.82321701E+1,
272.00,2.06487732E+2,3.44146210E+2,1.37658478E+2,2.06487732E+2,4.81804688E+2,2.75316956E+2,1.37658478E+2,3.44146210E+2,6.88292389E+1,2.06487732E+2,4.81804688E+2,1.37658478E+2,6.88292389E+1,6.88292389E+1,6.88292389E+1,6.88292389E+1,6.88292389E+1,2.06487732E+2,2.75316956E+2,6.88292389E+1,1.37658478E+2,0.00000000E+0,2.06487732E+2,3.44146210E+2,1.37658478E+2,1.37658478E+2,6.88292389E+1,6.88292389E+1,1.37658478E+2,2.75316956E+2,3.44146210E+2,2.06487732E+2,
273.00,2.44917892E+2,1.22458946E+2,3.67376831E+2,2.44917892E+2,1.22458946E+2,2.44917892E+2,1.22458946E+2,6.12294731E+1,1.22458946E+2,1.83688416E+2,4.89835785E+2,1.22458946E+2,0.00000000E+0,2.44917892E+2,6.12294731E+1,6.12294731E+1,3.67376831E+2,6.12294731E+1,1.22458946E+2,6.12294731E+1,6.12294731E+1,3.67376831E+2,3.06147369E+2,3.06147369E+2,3.06147369E+2,1.83688416E+2,6.12294731E+1,1.22458946E+2,1.83688416E+2,2.44917892E+2,1.22458946E+2,3.06147369E+2,
274.00,1.10058067E+2,1.65087097E+2,1.65087097E+2,5.50290337E+1,5.50290337E+1,0.00000000E+0,5.50290337E+1,2.20116135E+2,1.10058067E+2,1.65087097E+2,1.10058067E+2,1.65087097E+2,1.65087097E+2,1.10058067E+2,5.50290337E+1,3.85203247E+2,2.20116135E+2,0.00000000E+0,2.75145172E+2,5.50290337E+1,1.65087097E+2,5.50290337E+1,2.75145172E+2,0.00000000E+0,1.10058067E+2,0.00000000E+0,1.10058067E+2,1.65087097E+2,1.10058067E+2,0.00000000E+0,1.65087097E+2,0.00000000E+0,
275.00,1.49641098E+2,9.97607346E+1,4.98803673E+1,9.97607346E+1,4.98803673E+1,4.98803673E+1,1.49641098E+2,4.98803673E+1,9.97607346E+1,4.98803673E+1,9.97607346E+1,3.99042938E+2,3.49162567E+2,9.97607346E+1,9.97607346E+1,2.49401825E+2,1.49641098E+2,1.99521469E+2,9.97607346E+1,1.99521469E+2,4.98803673E+1,9.97607346E+1,9.97607346E+1,0.00000000E+0,4.98803673E+1,9.97607346E+1,1.49641098E+2,2.49401825E+2,9.97607346E+1,4.98803673E+1,4.98803673E+1,4.98803673E+1,
276.00,4.55273857E+1,9.10547714E+1,2.73164307E+2,1.36582153E+2,4.55273857E+1,4.55273857E+1,1.36582153E+2,1.82109543E+2,2.27636932E+2,0.00000000E+0,1.36582153E+2,4.55273857E+1,9.10547714E+1,2.73164307E+2,9.10547714E+1,4.55273857E+1,1.82109543E+2,9.10547714E+1,0.00000000E+0,2.73164307E+2,9.10547714E+1,9.10547714E+1,1.82109543E+2,0.00000000E+0,4.55273857E+1,9.10547714E+1,4.55273857E+1,1.36582153E+2,4.55273857E+1,2.27636932E+2,9.10547714E+1,0.00000000E+0,
277.00,4.17773552E+1,0.00000000E+0,1.67109421E+2,8.35547104E+1,4.17773552E+1,1.25332069E+2,1.67109421E+2,8.35547104E+1,1.25332069E+2,2.50664139E+2,1.25332069E+2,0.00000000E+0,4.17773552E+1,8.35547104E+1,4.17773552E+1,8.35547104E+1,8.35547104E+1,8.35547104E+1,2.50664139E+2,0.00000000E+0,2.08886780E+2,1.25332069E+2,1.25332069E+2,0.00000000E+0,4.17773552E+1,4.17773552E+1,1.67109421E+2,4.17773552E+1,8.35547104E+1,4.17773552E+1,1.25332069E+2,8.35547104E+1,
278.00,7.70109940E+1,7.70109940E+1,1.54021988E+2,3.08043976E+2,7.70109940E+1,3.85054970E+1,3.85054970E+1,1.15516495E+2,3.85054970E+1,7.70109940E+1,7.70109940E+1,7.70109940E+1,3.85054970E+1,7.70109940E+1,7.70109940E+1,1.54021988E+2,7.70109940E+1,7.70109940E+1,1.15516495E+2,7.70109940E+1,1.54021988E+2,1.15516495E+2,7.70109940E+1,1.54021988E+2,1.54021988E+2,1.15516495E+2,3.85054970E+1,7.70109940E+1,3.85054970E+1,1.54021988E+2,1.15516495E+2,0.00000000E+0,
279.00,3.56382256E+1,7.12764511E+1,3.56382256E+1,3.56382256E+1,3.56382256E+1,3.56382256E+1,1.78191132E+2,1.78191132E+2,7.12764511E+1,1.06914680E+2,1.42552902E+2,3.56382256E+1,0.00000000E+0,7.12764511E+1,0.00000000E+0,3.56382256E+1,7.12764511E+1,3.56382256E+1,1.42552902E+2,7.12764511E+1,1.42552902E+2,7.12764511E+1,1.06914680E+2,1.42552902E+2,1.06914680E+2,7.12764511E+1,7.12764511E+1,3.56382256E+1,3.56382256E+1,7.12764511E+1,0.00000000E+0,3.56382256E+1,
